2022-10-12 07:29:46.42, 26, 3->1, 7.05, car
2022-10-12 07:29:48.15, 26, 3->1, 7.47, car
2022-10-12 07:29:49.95, 26, 3->1, 7.43, car
2022-10-12 07:29:52.15, 26, 3->1, 7.73, car
2022-10-12 07:29:52.35, 26, 3->2, 8.98, car
2022-10-12 07:29:58.95, 26, 3->1, 9.89, bus_m
2022-10-12 07:30:04.15, 26, 1->3, 9.02, car
2022-10-12 07:30:06.55, 26, 3->1, 9.91, car
2022-10-12 07:30:08.15, 26, 1->3, 5.57, bus_m
2022-10-12 07:30:10.69, 26, 3->1, 8.14, car
2022-10-12 07:30:10.75, 26, 1->3, 7.31, truck_m
2022-10-12 07:30:12.35, 26, 1->3, 7.25, car
2022-10-12 07:30:13.69, 26, 1->3, 6.78, bus_s
2022-10-12 07:30:15.95, 26, 1->3, 6.88, car
2022-10-12 07:30:17.02, 26, 1->3, 8.16, car
2022-10-12 07:30:19.22, 26, 1->3, 8.37, car
2022-10-12 07:30:20.22, 26, 1->0, 8.71, car
2022-10-12 07:30:22.89, 26, 1->0, 8.19, bus_m
2022-10-12 07:30:24.75, 26, 1->3, 7.43, truck_m
2022-10-12 07:30:25.35, 26, 1->0, 8.44, car
2022-10-12 07:30:26.75, 26, 1->3, 7.42, car
2022-10-12 07:30:27.95, 26, 1->3, 6.97, car
2022-10-12 07:30:29.29, 26, 1->0, 8.48, truck_s
2022-10-12 07:30:30.49, 26, 1->3, 8.41, car
2022-10-12 07:30:31.22, 26, 1->3, 8.14, car
2022-10-12 07:30:33.29, 26, 1->3, 10.79, car
2022-10-12 07:30:34.35, 26, 1->3, 8.49, truck_s
2022-10-12 07:30:35.89, 26, 1->3, 8.12, car
2022-10-12 07:30:36.62, 26, 1->0, 9.4, car
2022-10-12 07:30:37.49, 26, 1->3, 9.0, car
2022-10-12 07:30:38.69, 26, 1->0, 8.92, car
2022-10-12 07:30:39.55, 26, 7->6, 41.74, car
2022-10-12 07:30:42.29, 26, 1->3, 9.57, car
2022-10-12 07:30:47.89, 26, 0->2, 8.81, car
2022-10-12 07:30:48.02, 26, 2->0, 7.37, car
2022-10-12 07:30:48.22, 26, 0->2, 7.96, car
2022-10-12 07:30:49.35, 26, 0->2, 6.29, car
2022-10-12 07:30:50.08, 26, 2->0, 6.24, car
2022-10-12 07:30:50.28, 26, 0->2, 9.74, car
2022-10-12 07:30:50.42, 26, 2->0, 7.42, car
2022-10-12 07:30:51.15, 26, 0->2, 8.9, car
2022-10-12 07:30:51.82, 26, 7->6, 25.58, car
2022-10-12 07:30:51.82, 26, 2->0, 6.87, car
2022-10-12 07:30:52.08, 26, 2->0, 8.13, car
2022-10-12 07:30:52.68, 26, 0->2, 9.79, car
2022-10-12 07:30:53.55, 26, 2->0, 4.96, bus_m
2022-10-12 07:30:54.55, 26, 2->0, 7.58, bus_m
2022-10-12 07:30:54.82, 26, 0->2, 10.0, car
2022-10-12 07:30:56.42, 26, 0->2, 9.13, car
2022-10-12 07:30:56.42, 26, 2->0, 5.99, car
2022-10-12 07:30:57.75, 26, 2->0, 6.35, car
2022-10-12 07:30:57.95, 26, 0->2, 9.07, car
2022-10-12 07:30:58.68, 26, 0->2, 7.78, car
2022-10-12 07:30:59.55, 26, 2->0, 6.54, car
2022-10-12 07:31:00.22, 26, 0->2, 9.73, car
2022-10-12 07:31:00.88, 26, 2->0, 6.85, car
2022-10-12 07:31:01.48, 26, 0->2, 7.63, car
2022-10-12 07:31:02.15, 26, 0->2, 9.4, car
2022-10-12 07:31:03.02, 26, 2->0, 6.93, car
2022-10-12 07:31:03.48, 26, 0->2, 8.5, car
2022-10-12 07:31:04.15, 26, 0->2, 8.83, car
2022-10-12 07:31:04.22, 26, 2->0, 6.68, car
2022-10-12 07:31:05.35, 26, 0->2, 9.63, car
2022-10-12 07:31:05.68, 26, 2->0, 6.36, car
2022-10-12 07:31:08.68, 26, 2->0, 7.98, car
2022-10-12 07:31:09.08, 26, 0->2, 6.97, bus_m
2022-10-12 07:31:11.42, 26, 0->2, 10.37, car
2022-10-12 07:31:11.68, 26, 2->0, 6.72, car
2022-10-12 07:31:12.75, 26, 0->2, 6.37, bus_m
2022-10-12 07:31:13.08, 26, 0->2, 10.5, car
2022-10-12 07:31:13.48, 26, 0->2, 7.8, car
2022-10-12 07:31:14.08, 26, 2->0, 2.52, car
2022-10-12 07:31:14.82, 26, 0->2, 7.93, car
2022-10-12 07:31:16.02, 26, 2->3, 37.43, car
2022-10-12 07:31:16.82, 26, 2->0, 3.22, car
2022-10-12 07:31:17.62, 26, 0->2, 8.32, car
2022-10-12 07:31:18.08, 26, 0->2, 8.47, car
2022-10-12 07:31:19.42, 26, 2->0, 3.89, car
2022-10-12 07:31:19.55, 26, 0->2, 8.37, car
2022-10-12 07:31:21.75, 26, 2->0, 4.35, truck_s
2022-10-12 07:31:22.68, 26, 0->2, 7.57, truck_s
2022-10-12 07:31:22.68, 26, 0->2, 7.93, car
2022-10-12 07:31:23.42, 26, 2->0, 4.5, car
2022-10-12 07:31:23.88, 26, 0->2, 8.26, car
2022-10-12 07:31:24.35, 26, 2->0, 6.37, car
2022-10-12 07:31:24.48, 26, 0->2, 7.36, car
2022-10-12 07:31:25.15, 26, 2->0, 5.44, car
2022-10-12 07:31:25.82, 26, 0->2, 7.71, car
2022-10-12 07:31:26.42, 26, 2->0, 6.51, truck_s
2022-10-12 07:31:26.82, 26, 0->2, 7.91, car
2022-10-12 07:31:27.28, 26, 2->0, 6.54, car
2022-10-12 07:31:27.68, 26, 0->2, 7.84, car
2022-10-12 07:31:28.62, 26, 2->0, 6.58, car
2022-10-12 07:31:28.95, 26, 0->2, 7.95, car
2022-10-12 07:31:29.35, 26, 2->0, 6.86, car
2022-10-12 07:31:30.22, 26, 0->2, 8.39, truck_s
2022-10-12 07:31:30.75, 26, 2->0, 6.75, car
2022-10-12 07:31:31.15, 26, 0->2, 7.32, car
2022-10-12 07:31:31.55, 26, 0->2, 8.23, car
2022-10-12 07:31:31.68, 26, 2->0, 6.12, truck_s
2022-10-12 07:31:33.68, 26, 2->0, 7.23, car
2022-10-12 07:31:33.82, 26, 0->2, 7.44, car
2022-10-12 07:31:34.62, 26, 0->2, 8.85, car
2022-10-12 07:31:34.88, 26, 2->0, 8.01, car
2022-10-12 07:31:35.82, 26, 0->2, 7.79, car
2022-10-12 07:31:36.48, 26, 2->0, 8.06, car
2022-10-12 07:31:36.88, 26, 0->2, 9.14, truck_s
2022-10-12 07:31:37.48, 26, 0->2, 9.24, car
2022-10-12 07:31:38.68, 26, 0->2, 8.46, car
2022-10-12 07:31:39.02, 26, 2->0, 7.65, car
2022-10-12 07:31:39.08, 26, 0->2, 9.2, car
2022-10-12 07:31:39.82, 26, 0->2, 8.59, car
2022-10-12 07:31:40.75, 26, 0->2, 9.82, car
2022-10-12 07:31:41.15, 26, 2->0, 7.94, car
2022-10-12 07:31:42.02, 26, 0->2, 8.88, car
2022-10-12 07:31:42.75, 26, 2->0, 8.72, car
2022-10-12 07:31:43.75, 26, 2->0, 8.56, truck_s
2022-10-12 07:31:43.95, 26, 0->2, 8.57, car
2022-10-12 07:31:44.82, 26, 2->0, 9.06, car
2022-10-12 07:31:45.88, 26, 2->0, 7.98, car
2022-10-12 07:31:46.88, 26, 0->2, 9.05, car
2022-10-12 07:31:47.55, 26, 2->0, 8.65, car
2022-10-12 07:31:48.28, 26, 0->2, 11.93, car
2022-10-12 07:31:48.42, 26, 2->0, 8.99, car
2022-10-12 07:31:49.95, 26, 2->0, 8.09, car
2022-10-12 07:31:50.35, 26, 0->2, 9.79, car
2022-10-12 07:31:50.42, 26, 0->2, 12.1, car
2022-10-12 07:31:51.75, 26, 0->2, 11.06, car
2022-10-12 07:31:51.75, 26, 2->0, 7.69, car
2022-10-12 07:31:52.95, 26, 2->0, 7.94, car
2022-10-12 07:31:53.15, 26, 0->2, 11.55, car
2022-10-12 07:31:53.22, 26, 2->0, 7.84, car
2022-10-12 07:31:57.88, 26, 2->1, 9.08, car
2022-10-12 07:32:01.75, 26, 0->3, 5.6, truck_s
2022-10-12 07:32:01.75, 26, 2->1, 7.02, bus_m
2022-10-12 07:32:02.02, 26, 2->1, 4.72, truck_s
2022-10-12 07:32:02.88, 26, 0->3, 5.59, car
2022-10-12 07:32:04.88, 26, 0->3, 5.82, car
2022-10-12 07:32:07.15, 26, 2->1, 6.13, bus_m
2022-10-12 07:32:07.68, 26, 0->3, 5.97, car
2022-10-12 07:32:08.68, 26, 2->1, 4.94, car
2022-10-12 07:32:09.95, 26, 0->3, 4.51, car
2022-10-12 07:32:10.22, 26, 0->3, 5.57, car
2022-10-12 07:32:10.68, 26, 2->1, 5.55, truck_s
2022-10-12 07:32:12.02, 26, 0->3, 4.99, car
2022-10-12 07:32:13.02, 26, 0->3, 4.27, car
2022-10-12 07:32:16.55, 26, 2->1, 5.93, bus_m
2022-10-12 07:32:17.02, 26, 2->1, 5.19, car
2022-10-12 07:32:17.08, 26, 0->3, 8.68, car
2022-10-12 07:32:19.28, 26, 2->1, 5.17, car
2022-10-12 07:32:23.82, 26, 3->1, 7.41, car
2022-10-12 07:32:25.62, 26, 3->1, 5.65, truck_m
2022-10-12 07:32:27.35, 26, 3->1, 6.24, car
2022-10-12 07:32:27.95, 26, 3->2, 8.17, car
2022-10-12 07:32:28.88, 26, 3->1, 7.15, car
2022-10-12 07:32:29.68, 26, 3->1, 6.26, car
2022-10-12 07:32:29.88, 26, 3->2, 9.89, truck_s
2022-10-12 07:32:31.82, 26, 3->1, 5.92, car
2022-10-12 07:32:33.75, 26, 3->1, 5.74, bus_m
2022-10-12 07:32:35.62, 26, 3->1, 6.22, car
2022-10-12 07:32:36.68, 26, 3->1, 6.3, car
2022-10-12 07:32:37.42, 26, 3->2, 7.58, car
2022-10-12 07:32:38.82, 26, 3->1, 6.26, car
2022-10-12 07:32:41.28, 26, 3->1, 5.75, car
2022-10-12 07:32:43.68, 26, 3->1, 5.4, car
2022-10-12 07:32:43.68, 26, 3->1, 5.72, car
2022-10-12 07:32:46.42, 26, 3->1, 7.81, car
2022-10-12 07:32:48.22, 26, 3->1, 6.29, truck_m
2022-10-12 07:32:52.61, 26, 3->1, 10.77, car
2022-10-12 07:32:55.47, 26, 3->1, 6.82, car
2022-10-12 07:32:58.61, 26, 3->1, 8.15, car
2022-10-12 07:33:02.61, 26, 7->6, 36.63, car
2022-10-12 07:33:02.81, 26, 1->3, 9.42, car
2022-10-12 07:33:03.14, 26, 3->1, 8.96, car
2022-10-12 07:33:04.81, 26, 1->3, 9.29, car
2022-10-12 07:33:05.27, 26, 3->1, 8.64, car
2022-10-12 07:33:06.87, 26, 1->3, 8.95, car
2022-10-12 07:33:07.01, 26, 3->1, 8.63, car
2022-10-12 07:33:09.54, 26, 3->1, 10.32, car
2022-10-12 07:33:09.67, 26, 7->6, 35.45, bus_m
2022-10-12 07:33:10.47, 26, 3->1, 9.98, car
2022-10-12 07:33:11.81, 26, 3->1, 12.01, car
2022-10-12 07:33:13.34, 26, 1->3, 8.1, truck_s
2022-10-12 07:33:14.47, 26, 1->3, 11.4, truck_s
2022-10-12 07:33:15.81, 26, 1->3, 7.68, car
2022-10-12 07:33:18.94, 26, 1->3, 7.96, bus_m
2022-10-12 07:33:20.47, 26, 1->0, 9.42, truck_s
2022-10-12 07:33:23.34, 26, 1->0, 9.02, car
2022-10-12 07:33:25.21, 26, 1->0, 8.77, car
2022-10-12 07:33:28.01, 26, 1->0, 7.73, car
2022-10-12 07:33:32.14, 26, 1->0, 8.14, bus_m
2022-10-12 07:33:32.94, 26, 1->3, 11.67, car
2022-10-12 07:33:33.74, 26, 1->3, 14.81, truck_s
2022-10-12 07:33:34.34, 26, 1->0, 8.78, car
2022-10-12 07:33:35.61, 26, 1->3, 12.38, car
2022-10-12 07:33:37.81, 26, 1->0, 8.34, car
2022-10-12 07:33:39.14, 26, 1->0, 7.06, car
2022-10-12 07:33:41.07, 26, 1->0, 8.11, car
2022-10-12 07:33:43.67, 26, 7->6, 54.02, bus_m
2022-10-12 07:33:46.74, 26, 2->0, 2.75, car
2022-10-12 07:33:48.21, 26, 0->2, 7.27, car
2022-10-12 07:33:48.34, 26, 2->0, 6.25, car
2022-10-12 07:33:48.54, 26, 0->2, 7.24, car
2022-10-12 07:33:49.54, 26, 2->0, 6.46, car
