2022-10-13 07:29:46.47, 12, 1->2, 16.48, car
2022-10-13 07:29:48.67, 12, 1->2, 24.08, car
2022-10-13 07:29:51.01, 12, 0->2, 8.02, car
2022-10-13 07:29:52.54, 12, 0->2, 8.64, car
2022-10-13 07:29:54.54, 12, 0->2, 9.72, car
2022-10-13 07:29:57.21, 12, 0->2, 4.66, bus_m
2022-10-13 07:29:57.47, 12, 0->2, 7.55, car
2022-10-13 07:29:58.14, 12, 0->2, 8.25, truck_s
2022-10-13 07:29:59.87, 12, 0->2, 7.44, car
2022-10-13 07:29:59.94, 12, 0->2, 6.52, bus_m
2022-10-13 07:30:03.61, 12, 0->2, 8.22, car
2022-10-13 07:30:03.67, 12, 0->2, 5.71, bus_m
2022-10-13 07:30:04.34, 12, 0->2, 7.9, car
2022-10-13 07:30:05.81, 12, 0->2, 6.52, bus_m
2022-10-13 07:30:06.41, 12, 0->2, 8.69, car
2022-10-13 07:30:08.61, 12, 0->2, 7.67, car
2022-10-13 07:30:10.07, 12, 0->2, 8.72, car
2022-10-13 07:30:11.01, 12, 0->2, 8.32, car
2022-10-13 07:30:11.07, 12, 0->2, 7.52, car
2022-10-13 07:30:12.14, 12, 0->2, 7.88, car
2022-10-13 07:30:13.27, 12, 0->2, 7.99, truck_s
2022-10-13 07:30:14.34, 12, 2->0, 9.78, car
2022-10-13 07:30:14.81, 12, 0->2, 8.08, car
2022-10-13 07:30:16.07, 12, 0->2, 8.64, car
2022-10-13 07:30:16.27, 12, 2->0, 7.52, car
2022-10-13 07:30:17.01, 12, 2->0, 3.59, bus_m
2022-10-13 07:30:17.81, 12, 0->2, 7.84, car
2022-10-13 07:30:18.41, 12, 0->2, 9.58, car
2022-10-13 07:30:18.67, 12, 0->2, 8.84, car
2022-10-13 07:30:19.61, 12, 2->0, 7.02, car
2022-10-13 07:30:19.94, 12, 0->2, 9.74, car
2022-10-13 07:30:21.21, 12, 0->2, 10.25, car
2022-10-13 07:30:21.21, 12, 2->0, 8.11, car
2022-10-13 07:30:21.61, 12, 0->2, 9.65, truck_s
2022-10-13 07:30:22.74, 12, 2->0, 6.57, bus_m
2022-10-13 07:30:23.21, 12, 0->2, 9.36, car
2022-10-13 07:30:24.14, 12, 2->0, 8.08, car
2022-10-13 07:30:24.54, 12, 0->2, 10.3, car
2022-10-13 07:30:24.81, 12, 0->2, 8.65, car
2022-10-13 07:30:24.81, 12, 2->0, 7.65, bus_m
