2022-10-06 07:42:29.01, 31, 2->0, 5.23, car
2022-10-06 07:42:29.37, 31, 2->1, 4.05, car
2022-10-06 07:42:29.87, 31, 2->1, 4.97, car
2022-10-06 07:42:31.04, 31, 2->1, 4.7, car
2022-10-06 07:42:33.81, 31, 2->0, 3.73, car
2022-10-06 07:42:35.94, 31, 2->0, 3.51, car
2022-10-06 07:42:37.81, 31, 2->1, 4.59, car
2022-10-06 07:42:40.71, 31, 2->1, 6.29, car
2022-10-06 07:43:58.30, 31, 0->1, 3.13, car
2022-10-06 07:44:07.64, 31, 1->0, 1.54, car
2022-10-06 07:44:13.57, 31, 0->2, 1.95, car
2022-10-06 07:44:55.77, 31, 0->1, 0.25, car
2022-10-06 07:45:33.43, 31, 2->0, 0.43, car
2022-10-06 07:45:37.36, 31, 2->1, 4.53, car
2022-10-06 07:45:38.86, 31, 2->0, 1.55, car
2022-10-06 07:45:40.93, 31, 2->1, 4.37, car
2022-10-06 07:45:41.93, 31, 2->0, 2.49, car
2022-10-06 07:45:44.83, 31, 2->0, 2.72, bus_m
2022-10-06 07:45:48.09, 31, 2->0, 2.94, car
2022-10-06 07:45:49.16, 31, 2->1, 3.45, car
2022-10-06 07:45:51.63, 31, 2->0, 4.2, car
2022-10-06 07:45:52.19, 31, 2->1, 4.42, car
2022-10-06 07:45:52.73, 31, 2->1, 4.5, car
2022-10-06 07:45:54.79, 31, 2->0, 4.19, car
2022-10-06 07:45:58.53, 31, 2->1, 6.13, car
2022-10-06 07:46:00.23, 31, 2->1, 4.54, car
2022-10-06 07:46:01.86, 31, 2->0, 3.97, car
2022-10-06 07:46:06.66, 31, 2->1, 3.42, car
2022-10-06 07:46:07.56, 31, 2->0, 3.97, car
2022-10-06 07:46:09.36, 31, 2->1, 4.71, car
2022-10-06 07:46:11.19, 31, 0->1, 0.81, car
2022-10-06 07:46:12.93, 31, 2->0, 6.21, car
2022-10-06 07:46:26.29, 31, 0->1, 2.11, car
2022-10-06 07:46:41.62, 31, 1->0, 1.32, car
2022-10-06 07:46:48.36, 31, 0->1, 2.33, car
2022-10-06 07:47:24.59, 31, 0->1, 2.44, car
2022-10-06 07:47:25.06, 31, 2->0, 2.32, bus_m
2022-10-06 07:47:30.89, 31, 2->0, 3.08, car
2022-10-06 07:47:32.59, 31, 2->0, 3.55, car
2022-10-06 07:47:33.99, 31, 2->0, 3.81, car
2022-10-06 07:47:36.42, 31, 2->0, 4.96, car
2022-10-06 07:47:41.96, 31, 0->2, 1.96, bus_m
2022-10-06 07:47:43.99, 31, 2->0, 4.5, car
2022-10-06 07:48:32.08, 31, 2->1, 4.07, car
2022-10-06 07:48:41.22, 31, 2->1, 3.23, car
2022-10-06 07:48:48.95, 31, 2->1, 3.49, car
2022-10-06 07:48:55.58, 31, 2->0, 1.45, car
2022-10-06 07:48:56.42, 31, 2->0, 3.77, bus_m
2022-10-06 07:49:03.52, 31, 2->0, 3.85, car
2022-10-06 07:49:04.28, 31, 2->1, 3.76, car
2022-10-06 07:49:06.68, 31, 2->0, 3.56, truck_s
2022-10-06 07:49:09.15, 31, 2->0, 3.96, car
2022-10-06 07:49:10.02, 31, 0->1, 2.14, car
2022-10-06 07:49:11.95, 31, 2->0, 4.99, car
2022-10-06 07:49:15.82, 31, 2->0, 3.36, car
2022-10-06 07:49:16.68, 31, 2->1, 3.33, car
2022-10-06 07:49:17.62, 31, 2->0, 4.26, car
2022-10-06 07:49:18.55, 31, 2->1, 3.88, car
2022-10-06 07:49:19.58, 31, 2->1, 3.7, car
2022-10-06 07:49:19.92, 31, 2->0, 5.51, car
2022-10-06 07:49:20.08, 31, 2->1, 4.0, car
2022-10-06 07:49:21.88, 31, 2->0, 3.99, car
2022-10-06 07:49:25.98, 31, 2->1, 4.09, car
2022-10-06 07:49:28.45, 31, 2->1, 6.79, car
2022-10-06 07:49:29.51, 31, 2->1, 4.61, car
2022-10-06 07:49:53.81, 31, 0->1, 1.23, car
2022-10-06 07:50:04.28, 31, 1->0, 1.36, car
2022-10-06 07:50:52.91, 31, 2->0, 3.15, car
2022-10-06 07:50:57.21, 31, 2->0, 2.54, truck_s
2022-10-06 07:50:59.18, 31, 2->0, 3.15, car
2022-10-06 07:51:53.41, 31, 2->1, 1.86, car
2022-10-06 07:52:19.01, 31, 2->0, 2.0, bus_s
2022-10-06 07:52:21.71, 31, 2->0, 2.95, bus_m
2022-10-06 07:52:27.24, 31, 2->0, 2.91, car
2022-10-06 07:52:30.70, 31, 2->1, 3.68, car
2022-10-06 07:52:33.50, 31, 2->0, 3.75, car
