2022-10-05 07:33:24.93, 6, 1->0, 3.16, bus_m
2022-10-05 07:33:25.73, 6, 1->0, 2.09, car
2022-10-05 07:33:27.46, 6, 1->0, 1.52, car
2022-10-05 07:33:30.76, 6, 1->0, 1.75, bus_m
2022-10-05 07:33:31.10, 6, 1->0, 2.84, car
2022-10-05 07:33:34.50, 6, 1->0, 1.96, truck_s
2022-10-05 07:33:40.76, 6, 2->1, 2.38, car
2022-10-05 07:33:42.86, 6, 2->0, 1.92, car
2022-10-05 07:33:44.10, 6, 2->1, 1.74, car
2022-10-05 07:33:45.63, 6, 2->0, 2.34, car
2022-10-05 07:33:45.70, 6, 2->1, 2.07, car
2022-10-05 07:33:45.96, 6, 2->0, 1.27, car
2022-10-05 07:33:48.26, 6, 2->0, 1.76, car
2022-10-05 07:33:50.86, 6, 2->0, 1.94, car
2022-10-05 07:33:53.03, 6, 2->1, 2.16, car
2022-10-05 07:33:54.06, 6, 2->0, 2.21, car
2022-10-05 07:33:54.26, 6, 2->0, 1.8, car
2022-10-05 07:33:55.16, 6, 2->0, 1.61, car
2022-10-05 07:33:57.23, 6, 2->0, 1.94, car
2022-10-05 07:33:58.20, 6, 2->0, 2.34, car
2022-10-05 07:33:59.30, 6, 2->0, 2.02, car
2022-10-05 07:34:00.66, 6, 2->1, 1.69, car
2022-10-05 07:34:01.23, 6, 2->0, 2.08, car
2022-10-05 07:34:01.36, 6, 2->0, 2.36, car
2022-10-05 07:34:03.86, 6, 2->0, 2.26, car
2022-10-05 07:34:04.33, 6, 2->1, 2.28, car
2022-10-05 07:34:04.63, 6, 2->0, 1.58, truck_s
2022-10-05 07:34:06.00, 6, 2->1, 1.52, car
2022-10-05 07:34:06.53, 6, 2->0, 1.99, car
2022-10-05 07:34:06.76, 6, 2->0, 3.08, car
2022-10-05 07:34:07.70, 6, 2->0, 2.1, car
2022-10-05 07:34:09.76, 6, 2->0, 1.96, car
2022-10-05 07:34:09.86, 6, 2->0, 2.44, car
2022-10-05 07:34:11.00, 6, 2->1, 1.66, car
2022-10-05 07:34:11.80, 6, 2->0, 2.22, car
2022-10-05 07:34:13.10, 6, 2->0, 2.1, car
2022-10-05 07:34:22.06, 6, 2->0, 2.17, car
2022-10-05 07:34:22.53, 6, 2->0, 1.69, car
2022-10-05 07:34:24.26, 6, 2->0, 1.83, car
2022-10-05 07:34:25.23, 6, 2->0, 2.13, car
2022-10-05 07:34:28.20, 6, 2->0, 2.32, car
2022-10-05 07:34:29.70, 6, 2->0, 1.86, car
2022-10-05 07:34:32.43, 6, 2->0, 2.36, car
2022-10-05 07:34:33.43, 6, 3->0, 5.34, car
2022-10-05 07:34:36.06, 6, 2->0, 2.42, bus_m
2022-10-05 07:34:36.40, 6, 2->0, 1.6, car
2022-10-05 07:34:36.43, 6, 2->0, 1.78, car
2022-10-05 07:34:40.26, 6, 2->0, 1.98, car
2022-10-05 07:34:40.40, 6, 2->0, 1.74, car
2022-10-05 07:34:42.56, 6, 2->0, 2.09, car
2022-10-05 07:34:42.63, 6, 2->0, 2.06, car
2022-10-05 07:34:45.53, 6, 0->1, 5.73, car
2022-10-05 07:34:48.20, 6, 2->0, 2.07, car
2022-10-05 07:34:48.20, 6, 2->0, 2.05, bus_m
2022-10-05 07:34:49.36, 6, 2->0, 3.17, car
2022-10-05 07:34:51.76, 6, 2->0, 2.35, truck_s
2022-10-05 07:34:52.30, 6, 2->0, 1.92, car
2022-10-05 07:34:52.76, 6, 2->0, 2.65, car
2022-10-05 07:34:52.80, 6, 2->0, 2.25, car
2022-10-05 07:34:53.80, 6, 2->0, 2.25, car
2022-10-05 07:34:56.36, 6, 2->0, 2.32, car
2022-10-05 07:34:56.43, 6, 0->2, 2.94, car
2022-10-05 07:34:57.56, 6, 0->2, 2.39, car
