2022-10-06 07:28:11.98, 19, 0->1, 4.31, car
2022-10-06 07:28:12.14, 19, 0->1, 3.15, car
2022-10-06 07:28:14.58, 19, 0->1, 2.91, car
2022-10-06 07:28:16.04, 19, 4->2, 22.49, truck_s
2022-10-06 07:28:16.54, 19, 0->1, 3.3, car
2022-10-06 07:28:16.54, 19, 0->1, 2.26, car
2022-10-06 07:28:17.11, 19, 0->1, 4.7, car
2022-10-06 07:28:18.01, 19, 0->1, 3.17, car
2022-10-06 07:28:18.11, 19, 0->1, 2.8, car
2022-10-06 07:28:18.21, 19, 4->2, 22.14, car
2022-10-06 07:28:19.28, 19, 0->1, 3.59, car
2022-10-06 07:28:19.78, 19, 2->3, 7.0, car
2022-10-06 07:28:20.78, 19, 4->2, 23.75, car
2022-10-06 07:28:22.61, 19, 2->3, 5.88, car
2022-10-06 07:28:23.58, 19, 4->2, 17.0, car
2022-10-06 07:28:28.38, 19, 4->2, 4.51, car
2022-10-06 07:28:34.88, 19, 4->2, 6.88, car
2022-10-06 07:28:34.94, 19, 2->3, 1.61, car
2022-10-06 07:28:37.41, 19, 2->3, 4.36, car
2022-10-06 07:28:37.74, 19, 4->2, 12.47, car
2022-10-06 07:28:40.38, 19, 2->3, 4.07, car
2022-10-06 07:28:44.51, 19, 4->2, 15.09, bus_m
2022-10-06 07:28:47.61, 19, 4->2, 11.79, truck_s
2022-10-06 07:28:53.58, 19, 4->2, 15.5, bus_m
2022-10-06 07:28:56.54, 19, 4->2, 15.44, car
2022-10-06 07:28:58.54, 19, 4->2, 16.62, car
2022-10-06 07:28:59.04, 19, 2->3, 4.49, car
2022-10-06 07:29:00.81, 19, 2->3, 4.53, car
2022-10-06 07:31:16.30, 19, 0->1, 2.96, car
2022-10-06 07:31:17.93, 19, 0->1, 3.64, car
2022-10-06 07:31:20.07, 19, 0->1, 1.96, car
2022-10-06 07:31:23.50, 19, 4->2, 14.02, car
2022-10-06 07:31:24.37, 19, 0->1, 3.27, car
2022-10-06 07:31:25.63, 19, 2->3, 5.18, car
2022-10-06 07:31:25.70, 19, 4->2, 18.86, car
2022-10-06 07:31:27.80, 19, 2->3, 5.05, car
2022-10-06 07:31:30.20, 19, 4->2, 19.54, car
2022-10-06 07:31:32.33, 19, 2->3, 5.3, car
2022-10-06 07:31:33.30, 19, 0->1, 3.96, car
2022-10-06 07:31:36.03, 19, 0->1, 3.24, car
2022-10-06 07:31:36.40, 19, 0->1, 2.36, car
2022-10-06 07:31:36.50, 19, 0->1, 1.95, bus_m
2022-10-06 07:31:36.90, 19, 4->2, 19.92, car
2022-10-06 07:31:38.10, 19, 0->1, 3.5, car
2022-10-06 07:31:38.97, 19, 2->3, 5.4, car
2022-10-06 07:31:39.43, 19, 0->1, 2.32, car
2022-10-06 07:31:39.67, 19, 0->1, 4.35, car
2022-10-06 07:31:41.60, 19, 0->1, 3.14, car
2022-10-06 07:31:41.70, 19, 0->1, 4.27, car
2022-10-06 07:31:43.37, 19, 0->1, 2.67, car
2022-10-06 07:31:43.87, 19, 0->1, 3.94, car
2022-10-06 07:31:45.13, 19, 0->1, 3.54, car
2022-10-06 07:31:45.83, 19, 0->1, 3.59, car
2022-10-06 07:31:46.10, 19, 4->2, 22.12, car
2022-10-06 07:31:46.67, 19, 0->1, 3.15, car
2022-10-06 07:31:48.13, 19, 2->3, 5.49, car
2022-10-06 07:31:48.37, 19, 0->1, 4.76, car
2022-10-06 07:31:48.67, 19, 4->2, 18.67, truck_s
2022-10-06 07:31:49.23, 19, 0->1, 2.76, car
2022-10-06 07:31:51.13, 19, 0->1, 3.1, car
2022-10-06 07:31:51.77, 19, 2->3, 3.31, car
2022-10-06 07:31:51.97, 19, 0->1, 2.67, car
2022-10-06 07:31:52.97, 19, 0->1, 4.16, car
2022-10-06 07:31:54.97, 19, 4->3, 2.56, truck_s
2022-10-06 07:31:56.30, 19, 0->1, 4.37, car
2022-10-06 07:31:56.97, 19, 4->2, 17.84, car
2022-10-06 07:31:57.53, 19, 0->1, 5.17, car
2022-10-06 07:31:58.90, 19, 0->1, 1.69, truck_s
2022-10-06 07:31:59.47, 19, 0->1, 2.78, car
2022-10-06 07:31:59.77, 19, 0->1, 4.42, car
2022-10-06 07:31:59.87, 19, 2->3, 3.67, car
2022-10-06 07:32:02.37, 19, 4->3, 2.59, car
2022-10-06 07:32:15.53, 19, 4->2, 18.16, car
2022-10-06 07:32:17.57, 19, 2->3, 5.45, car
2022-10-06 07:34:51.99, 19, 0->1, 3.04, car
2022-10-06 07:34:51.99, 19, 0->1, 0.64, car
2022-10-06 07:34:54.65, 19, 0->1, 2.79, car
2022-10-06 07:34:55.39, 19, 0->1, 2.71, car
2022-10-06 07:34:56.09, 19, 0->1, 2.32, car
2022-10-06 07:34:56.39, 19, 0->1, 3.14, car
2022-10-06 07:34:57.79, 19, 4->2, 13.91, car
2022-10-06 07:34:57.89, 19, 0->1, 2.69, car
2022-10-06 07:34:58.72, 19, 0->1, 3.28, truck_s
2022-10-06 07:35:00.32, 19, 2->3, 4.09, car
2022-10-06 07:35:00.65, 19, 0->1, 2.61, car
2022-10-06 07:35:01.69, 19, 0->1, 3.43, car
2022-10-06 07:35:02.59, 19, 0->1, 4.3, car
2022-10-06 07:35:02.62, 19, 0->1, 2.96, car
2022-10-06 07:35:03.45, 19, 0->1, 3.37, car
2022-10-06 07:35:04.55, 19, 0->1, 3.34, car
2022-10-06 07:35:06.59, 19, 0->1, 4.93, car
2022-10-06 07:35:08.25, 19, 0->1, 3.31, car
2022-10-06 07:35:10.89, 19, 0->1, 3.37, car
2022-10-06 07:35:11.49, 19, 4->3, 2.62, bus_m
2022-10-06 07:35:11.62, 19, 0->1, 3.06, car
2022-10-06 07:35:12.32, 19, 0->1, 4.3, car
2022-10-06 07:35:12.85, 19, 0->1, 3.63, car
2022-10-06 07:35:12.89, 19, 4->2, 6.71, car
2022-10-06 07:35:14.25, 19, 0->1, 4.07, car
2022-10-06 07:35:14.69, 19, 0->1, 3.67, car
2022-10-06 07:35:19.82, 19, 2->3, 1.56, car
2022-10-06 07:35:20.59, 19, 0->1, 4.13, car
2022-10-06 07:35:21.29, 19, 0->1, 3.21, car
2022-10-06 07:35:22.19, 19, 4->2, 16.65, car
2022-10-06 07:35:22.85, 19, 0->1, 7.1, car
2022-10-06 07:35:23.45, 19, 0->1, 2.77, car
2022-10-06 07:35:24.82, 19, 0->1, 3.04, car
2022-10-06 07:35:26.45, 19, 0->1, 2.99, car
2022-10-06 07:35:27.19, 19, 0->1, 3.6, car
2022-10-06 07:35:28.15, 19, 4->2, 5.47, car
2022-10-06 07:35:30.25, 19, 2->3, 1.34, car
2022-10-06 07:35:30.42, 19, 0->1, 3.62, truck_m
2022-10-06 07:35:30.89, 19, 0->1, 4.37, car
2022-10-06 07:35:31.25, 19, 0->1, 3.8, car
2022-10-06 07:35:32.95, 19, 0->1, 3.94, car
2022-10-06 07:35:33.25, 19, 0->1, 3.64, car
2022-10-06 07:35:34.22, 19, 0->1, 2.77, car
2022-10-06 07:35:34.32, 19, 4->2, 6.46, car
2022-10-06 07:35:34.65, 19, 2->3, 1.71, car
2022-10-06 07:35:35.25, 19, 0->1, 3.39, car
2022-10-06 07:35:35.95, 19, 0->1, 4.31, truck_s
