2022-10-06 08:30:48.66, 17, 1->0, 22.27, car
2022-10-06 08:30:53.12, 17, 1->0, 24.96, car
2022-10-06 08:30:56.19, 17, 1->0, 22.43, car
2022-10-06 08:32:38.45, 17, 1->0, 33.13, car
2022-10-06 08:32:40.78, 17, 1->0, 30.22, car
2022-10-06 08:33:03.12, 17, 1->0, 30.1, car
2022-10-06 08:34:33.94, 17, 1->0, 7.88, car
2022-10-06 08:34:51.28, 17, 1->0, 21.5, car
2022-10-06 08:34:54.14, 17, 1->0, 28.1, car
2022-10-06 08:36:51.80, 17, 1->0, 15.05, car
2022-10-06 08:37:33.60, 17, 1->0, 20.54, car
2022-10-06 08:38:01.93, 17, 1->0, 25.42, car
2022-10-06 08:39:01.80, 17, 1->0, 27.58, car
2022-10-06 08:41:00.56, 17, 1->0, 29.83, car
2022-10-06 08:41:11.49, 17, 1->0, 4.03, car
2022-10-06 08:41:15.82, 17, 1->0, 19.37, car
2022-10-06 08:41:19.82, 17, 1->0, 26.0, car
2022-10-06 08:41:39.88, 17, 1->0, 23.84, car
2022-10-06 08:43:17.61, 17, 1->0, 28.83, car
2022-10-06 08:43:25.48, 17, 1->0, 13.09, car
2022-10-06 08:43:53.34, 17, 1->0, 1.72, car
2022-10-06 08:45:20.97, 17, 1->0, 47.86, car
2022-10-06 08:45:23.17, 17, 1->0, 39.72, car
2022-10-06 08:45:25.57, 17, 1->0, 31.03, bus_s
2022-10-06 08:45:31.44, 17, 1->0, 20.75, car
2022-10-06 08:47:32.43, 17, 1->0, 24.3, car
2022-10-06 08:47:38.96, 17, 1->0, 15.08, car
2022-10-06 08:48:11.90, 17, 1->0, 28.67, bus_m
2022-10-06 08:51:56.25, 17, 1->0, 33.51, car
2022-10-06 08:54:06.10, 17, 1->0, 24.76, car
2022-10-06 08:54:10.50, 17, 1->0, 27.93, car
2022-10-06 08:54:37.24, 17, 1->0, 25.35, car
2022-10-06 08:55:42.04, 17, 1->0, 29.87, car
